onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_alive	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
64219	100	0	stimuli/animals/dog/animal_dog01.jpg             	1	1	1	animal_dog01.jpg     	animals  	0	dog       	11	dog01       	110	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	160.419349599979	160.519343599968	0.0999939999892376
64369	100	1	stimuli/animals/eagle/animal_eagle03.jpg         	1	1	1	animal_eagle03.jpg   	animals  	0	eagle     	13	eagle03     	132	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	160.569364499999	160.669379199971	0.100014699972235
64519	100	2	stimuli/movArt/helicopter/ma_helicopter04.jpg    	1	1	1	ma_helicopter04.jpg  	movArt   	2	helicopter	19	helicopter04	193	not_alive	0	moves	1	artefact	0	n	0	1        	f	0.0	0	160.719355699955	160.819374999963	0.100019300007261
64669	100	3	stimuli/nonmovArt/bench/nma_bench08.jpg          	1	1	1	nma_bench08.jpg      	nonmovArt	4	bench     	1	bench08     	17	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	160.869357899996	160.969355199952	0.0999972999561578
64819	100	4	stimuli/animals2/whale/animal_whale05.jpg        	1	1	1	animal_whale05.jpg   	animals2 	1	whale     	39	whale05     	394	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	161.01936409995	161.119349399989	0.0999853000394069
64969	100	5	stimuli/animals/cat/animal_cat03.jpg             	1	1	1	animal_cat03.jpg     	animals  	0	cat       	6	cat03       	62	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	161.169371899974	161.269378199999	0.100006300024688
65119	100	6	stimuli/plant2/clover/plant_clover02.jpg         	1	1	1	plant_clover02.jpg   	plant2   	7	clover    	9	clover02    	91	alive    	1	still	0	natural 	1	n	0	1        	f	0.0	0	161.319368499971	161.41938539996	0.100016899988987
65269	100	7	stimuli/plant2/clover/plant_clover01.jpg         	1	1	1	plant_clover01.jpg   	plant2   	7	clover    	9	clover01    	90	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	161.469642099983	161.569383899972	0.0997417999897152
65419	100	8	stimuli/animals2/tiger/animal_tiger09.jpg        	1	1	1	animal_tiger09.jpg   	animals2 	1	tiger     	33	tiger09     	338	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	161.619380499993	161.719371299958	0.0999907999648713
65569	100	9	stimuli/movNat/waves/mn_waves08.jpg              	1	1	1	mn_waves08.jpg       	movNat   	3	waves     	38	waves08     	387	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	161.769393299997	161.869376699964	0.0999833999667317
