onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_alive	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
68122	100	0	stimuli/animals2/bee/animal_bee06.jpg            	1	1	1	animal_bee06.jpg     	animals2 	1	bee       	0	bee06       	5	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	157.365437800065	157.4654128002	0.0999750001356006
68272	100	1	stimuli/nonmovArt/mug/nma_mug10.jpg              	1	1	1	nma_mug10.jpg        	nonmovArt	4	mug       	26	mug10       	269	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	157.515418000054	157.615403600037	0.0999855999834836
68422	100	2	stimuli/movNat/fire/mn_fire03.jpg                	1	1	1	mn_fire03.jpg        	movNat   	3	fire      	15	fire03      	152	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	157.665412500035	157.765405599959	0.0999930999241769
68572	100	3	stimuli/plant2/lemontree/plant_lemontree05.jpg   	1	1	1	plant_lemontree05.jpg	plant2   	7	lemontree 	22	lemontree05 	224	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	157.815418499988	157.915408300236	0.0999898002482951
68722	100	4	stimuli/animals/cat/animal_cat09.jpg             	1	1	1	animal_cat09.jpg     	animals  	0	cat       	6	cat09       	68	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	157.965421100147	158.065413200296	0.0999921001493931
68872	100	5	stimuli/animals/cat/animal_cat03.jpg             	1	1	1	animal_cat03.jpg     	animals  	0	cat       	6	cat03       	62	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	158.11541890027	158.215416500345	0.0999976000748575
69022	100	6	stimuli/movArt/boat/ma_boat08.jpg                	1	1	1	ma_boat08.jpg        	movArt   	2	boat      	2	boat08      	27	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	158.26542850025	158.365422000177	0.0999934999272227
69172	100	7	stimuli/movNat/hotspring/mn_hotspring02.jpg      	1	1	1	mn_hotspring02.jpg   	movNat   	3	hotspring 	21	hotspring02 	211	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	158.415831900202	158.515443100128	0.099611199926585
69322	100	8	stimuli/animals/dolphin/animal_dolphin02.jpg     	1	1	1	animal_dolphin02.jpg 	animals  	0	dolphin   	12	dolphin02   	121	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	158.565451500006	158.665443900041	0.0999924000352621
69472	100	9	stimuli/nonmovArt/bench/nma_bench02.jpg          	1	1	1	nma_bench02.jpg      	nonmovArt	4	bench     	1	bench02     	11	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	158.715452000033	158.815461700317	0.100009700283408
69622	100	10	stimuli/animals/cat/animal_cat10.jpg             	1	1	1	animal_cat10.jpg     	animals  	0	cat       	6	cat10       	69	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	158.865474699996	158.965454000048	0.0999793000519276
69772	100	11	stimuli/nonmovNat/cliff/nmn_cliff10.jpg          	1	1	1	nmn_cliff10.jpg      	nonmovNat	5	cliff     	7	cliff10     	79	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	159.015477800276	159.115452300292	0.099974500015378
69922	100	12	stimuli/plant2/clover/plant_clover08.jpg         	1	1	1	plant_clover08.jpg   	plant2   	7	clover    	9	clover08    	97	alive    	1	still	0	natural 	1	n	1	0        	 	0.0	0	159.165498699993	159.265458400361	0.0999597003683448
