onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_alive	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
88249	100	0	stimuli/plant2/lemontree/plant_lemontree08.jpg   	1	1	1	plant_lemontree08.jpg	plant2   	7	lemontree 	22	lemontree08 	227	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	75.7186098000093	75.8185988000041	0.0999889999948209
88399	100	1	stimuli/animals/cat/animal_cat09.jpg             	1	1	1	animal_cat09.jpg     	animals  	0	cat       	6	cat09       	68	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	75.8686164000101	75.9686011000013	0.0999846999911824
88549	100	2	stimuli/movNat/river/mn_river10.jpg              	1	1	1	mn_river10.jpg       	movNat   	3	river     	29	river10     	299	not_alive	0	moves	1	natural 	1	n	0	1        	f	0.0	0	76.0186099999992	76.1186068000097	0.0999968000105582
88699	100	3	stimuli/animals2/tiger/animal_tiger05.jpg        	1	1	1	animal_tiger05.jpg   	animals2 	1	tiger     	33	tiger05     	334	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	76.1686287000048	76.2686103000015	0.0999815999966813
88849	100	4	stimuli/animals/dog/animal_dog08.jpg             	1	1	1	animal_dog08.jpg     	animals  	0	dog       	11	dog08       	117	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	76.3186218000046	76.4186136000062	0.0999918000015896
88999	100	5	stimuli/nonmovArt/lock/nma_lock04.jpg            	1	1	1	nma_lock04.jpg       	nonmovArt	4	lock      	24	lock04      	243	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	76.4686232000094	76.5686168000102	0.0999936000007438
89149	100	6	stimuli/animals/horse/animal_horse08.jpg         	1	1	1	animal_horse08.jpg   	animals  	0	horse     	20	horse08     	207	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	76.6186277000088	76.7186224000034	0.0999946999945678
89300	100	7	stimuli/movArt/boat/ma_boat06.jpg                	1	1	1	ma_boat06.jpg        	movArt   	2	boat      	2	boat06      	25	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	76.7689179000008	76.8686273000058	0.0997094000049401
89449	100	8	stimuli/animals2/lemur/animal_lemur04.jpg        	1	1	1	animal_lemur04.jpg   	animals2 	1	lemur     	23	lemur04     	233	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	76.9186340000015	77.0186398000078	0.100005800006329
89599	100	9	stimuli/movNat/waterfall/mn_waterfall05.jpg      	1	1	1	mn_waterfall05.jpg   	movNat   	3	waterfall 	37	waterfall05 	374	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	77.0686382999993	77.1686347000068	0.0999964000075124
