onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_alive	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
94711	100	0	stimuli/movArt/bus/ma_bus07.jpg                  	1	1	1	ma_bus07.jpg         	movArt   	2	bus       	3	bus07       	36	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	75.7264398001134	75.8264242000878	0.0999843999743462
94861	100	1	stimuli/movNat/waterfall/mn_waterfall02.jpg      	1	1	1	mn_waterfall02.jpg   	movNat   	3	waterfall 	37	waterfall02 	371	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	75.8764446999412	75.9764260998927	0.0999813999515027
95011	100	2	stimuli/animals/horse/animal_horse04.jpg         	1	1	1	animal_horse04.jpg   	animals  	0	horse     	20	horse04     	203	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	76.0264381000307	76.1264414000325	0.100003300001845
95161	100	3	stimuli/movNat/waves/mn_waves05.jpg              	1	1	1	mn_waves05.jpg       	movNat   	3	waves     	38	waves05     	384	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	76.1764414000791	76.2764496998861	0.100008299807087
95311	100	4	stimuli/plant2/lemontree/plant_lemontree08.jpg   	1	1	1	plant_lemontree08.jpg	plant2   	7	lemontree 	22	lemontree08 	227	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	76.3264498999342	76.426437899936	0.0999880000017583
95461	100	5	stimuli/nonmovNat/cliff/nmn_cliff06.jpg          	1	1	1	nmn_cliff06.jpg      	nonmovNat	5	cliff     	7	cliff06     	75	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	76.4764473999385	76.5764427001122	0.0999953001737595
95611	100	6	stimuli/movArt/car/ma_car03.jpg                  	1	1	1	ma_car03.jpg         	movArt   	2	car       	5	car03       	52	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	76.6264525000006	76.7264449999202	0.0999924999196082
95761	100	7	stimuli/animals2/lemur/animal_lemur03.jpg        	1	1	1	animal_lemur03.jpg   	animals2 	1	lemur     	23	lemur03     	232	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	76.776720700087	76.8764512999915	0.0997305999044329
95911	100	8	stimuli/animals/horse/animal_horse01.jpg         	1	1	1	animal_horse01.jpg   	animals  	0	horse     	20	horse01     	200	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	76.9264616998844	77.0264926000964	0.100030900212005
96061	100	9	stimuli/plant/tree/plant_tree10.jpg              	1	1	1	plant_tree10.jpg     	plant    	6	tree      	35	tree10      	359	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	77.076462399913	77.1764565000776	0.0999941001646221
96211	100	10	stimuli/animals/horse/animal_horse03.jpg         	1	1	1	animal_horse03.jpg   	animals  	0	horse     	20	horse03     	202	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	77.2264763999265	77.326460900018	0.0999845000915229
96361	100	11	stimuli/movArt/train/ma_train03.jpg              	1	1	1	ma_train03.jpg       	movArt   	2	train     	34	train03     	342	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	77.376470600022	77.476462099934	0.0999914999119937
96511	100	12	stimuli/nonmovArt/lock/nma_lock02.jpg            	1	1	1	nma_lock02.jpg       	nonmovArt	4	lock      	24	lock02      	241	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	77.5264737000689	77.6264835000038	0.100009799934924
96661	100	13	stimuli/nonmovNat/sand/nmn_sand08.jpg            	1	1	1	nmn_sand08.jpg       	nonmovNat	5	sand      	31	sand08      	317	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	77.6764789998997	77.7764483999927	0.0999694000929594
96811	100	14	stimuli/nonmovArt/lock/nma_lock05.jpg            	1	1	1	nma_lock05.jpg       	nonmovArt	4	lock      	24	lock05      	244	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	77.8264864999801	77.9264795999043	0.0999930999241769
96961	100	15	stimuli/animals2/pigeon/animal_pigeon06.jpg      	1	1	1	animal_pigeon06.jpg  	animals2 	1	pigeon    	28	pigeon06    	285	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	77.9764926000498	78.0765013999771	0.100008799927309
97111	100	16	stimuli/movNat/river/mn_river05.jpg              	1	1	1	mn_river05.jpg       	movNat   	3	river     	29	river05     	294	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	78.1264750999398	78.2264888999052	0.100013799965382
97261	100	17	stimuli/plant/tree/plant_tree02.jpg              	1	1	1	plant_tree02.jpg     	plant    	6	tree      	35	tree02      	351	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	78.2765124000143	78.376501099905	0.0999886998906732
97411	100	18	stimuli/animals2/lemur/animal_lemur06.jpg        	1	1	1	animal_lemur06.jpg   	animals2 	1	lemur     	23	lemur06     	235	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	78.4265159999486	78.5265208999626	0.100004900014028
97561	100	19	stimuli/plant/grass/plant_grass02.jpg            	1	1	1	plant_grass02.jpg    	plant    	6	grass     	17	grass02     	171	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	78.5765110999346	78.6765155000612	0.100004400126636
97711	100	20	stimuli/animals/dog/animal_dog10.jpg             	1	1	1	animal_dog10.jpg     	animals  	0	dog       	11	dog10       	119	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	78.7265325000044	78.8265021999832	0.0999696999788284
97861	100	21	stimuli/movNat/hotspring/mn_hotspring06.jpg      	1	1	1	mn_hotspring06.jpg   	movNat   	3	hotspring 	21	hotspring06 	215	not_alive	0	moves	1	natural 	1	n	0	1        	a	0.0	0	78.8765398000833	78.9765035999008	0.0999637998174876
98011	100	22	stimuli/movArt/car/ma_car10.jpg                  	1	1	1	ma_car10.jpg         	movArt   	2	car       	5	car10       	59	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	79.0265313999262	79.1265128001105	0.0999814001843333
98161	100	23	stimuli/nonmovNat/shell/nmn_shell06.jpg          	1	1	1	nmn_shell06.jpg      	nonmovNat	5	shell     	32	shell06     	325	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	79.1765179999638	79.2765267000068	0.100008700042963
98311	100	24	stimuli/movArt/boat/ma_boat04.jpg                	1	1	1	ma_boat04.jpg        	movArt   	2	boat      	2	boat04      	23	not_alive	0	moves	1	artefact	0	n	0	1        	a	0.0	0	79.3265237000305	79.4265306000598	0.100006900029257
98461	100	25	stimuli/movNat/waves/mn_waves02.jpg              	1	1	1	mn_waves02.jpg       	movNat   	3	waves     	38	waves02     	381	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	79.4765304001048	79.5765362998936	0.100005899788812
98611	100	26	stimuli/animals2/whale/animal_whale08.jpg        	1	1	1	animal_whale08.jpg   	animals2 	1	whale     	39	whale08     	397	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	79.6265489999205	79.7265224999283	0.0999735000077635
98761	100	27	stimuli/plant/cactus/plant_cactus04.jpg          	1	1	1	plant_cactus04.jpg   	plant    	6	cactus    	4	cactus04    	43	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	79.7765605999157	79.8765426999889	0.0999821000732482
98911	100	28	stimuli/animals/cat/animal_cat10.jpg             	1	1	1	animal_cat10.jpg     	animals  	0	cat       	6	cat10       	69	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	79.9265610999428	80.0265309000388	0.0999698000960052
99061	100	29	stimuli/plant2/lemontree/plant_lemontree03.jpg   	1	1	1	plant_lemontree03.jpg	plant2   	7	lemontree 	22	lemontree03 	222	alive    	1	still	0	natural 	1	n	0	1        	a	0.0	0	80.0765418000519	80.1765387998894	0.0999969998374581
99211	100	30	stimuli/plant2/fern/plant_fern04.jpg             	1	1	1	plant_fern04.jpg     	plant2   	7	fern      	14	fern04      	143	alive    	1	still	0	natural 	1	n	0	1        	a	0.0	0	80.2265691000503	80.3265601999592	0.0999910999089479
99361	100	31	stimuli/nonmovNat/shell/nmn_shell01.jpg          	1	1	1	nmn_shell01.jpg      	nonmovNat	5	shell     	32	shell01     	320	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	80.3765726999845	80.4765415999573	0.0999688999727368
99511	100	32	stimuli/plant2/moss/plant_moss10.jpg             	1	1	1	plant_moss10.jpg     	plant2   	7	moss      	25	moss10      	259	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	80.526552000083	80.6265434001107	0.0999914000276476
99661	100	33	stimuli/movNat/river/mn_river09.jpg              	1	1	1	mn_river09.jpg       	movNat   	3	river     	29	river09     	298	not_alive	0	moves	1	natural 	1	n	0	1        	f	0.0	0	80.6765693998896	80.776577499928	0.100008100038394
99811	100	34	stimuli/nonmovNat/crystal/nmn_crystal09.jpg      	1	1	1	nmn_crystal09.jpg    	nonmovNat	5	crystal   	10	crystal09   	108	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	80.8265649999958	80.9265699000098	0.100004900014028
99961	100	35	stimuli/movArt/boat/ma_boat02.jpg                	1	1	1	ma_boat02.jpg        	movArt   	2	boat      	2	boat02      	21	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	80.9765802999027	81.0765579000581	0.0999776001553982
100111	100	36	stimuli/animals2/lemur/animal_lemur07.jpg        	1	1	1	animal_lemur07.jpg   	animals2 	1	lemur     	23	lemur07     	236	alive    	1	moves	1	natural 	1	n	0	1        	f	0.0	0	81.1265825999435	81.2265610999894	0.099978500045836
100261	100	37	stimuli/nonmovArt/bench/nma_bench06.jpg          	1	1	1	nma_bench06.jpg      	nonmovArt	4	bench     	1	bench06     	15	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	81.2765850001015	81.3765640000347	0.0999789999332279
100411	100	38	stimuli/plant2/palmtree/plant_palmtree07.jpg     	1	1	1	plant_palmtree07.jpg 	plant2   	7	palmtree  	27	palmtree07  	276	alive    	1	still	0	natural 	1	n	0	1        	f	0.0	0	81.426601300016	81.5265826000832	0.0999813000671566
100561	100	39	stimuli/nonmovArt/headphones/nma_headphones02.jpg	1	1	1	nma_headphones02.jpg 	nonmovArt	4	headphones	18	headphones02	181	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	81.5765937999822	81.6765719999094	0.0999781999271363
100711	100	40	stimuli/plant2/lemontree/plant_lemontree03.jpg   	1	1	1	plant_lemontree03.jpg	plant2   	7	lemontree 	22	lemontree03 	222	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	81.7265808000229	81.82657689997	0.0999960999470204
100861	100	41	stimuli/nonmovArt/bench/nma_bench07.jpg          	1	1	1	nma_bench07.jpg      	nonmovArt	4	bench     	1	bench07     	16	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	81.8766191999894	81.9765782000031	0.0999590000137687
101011	100	42	stimuli/movArt/car/ma_car07.jpg                  	1	1	1	ma_car07.jpg         	movArt   	2	car       	5	car07       	56	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	82.0266042000148	82.1265839000698	0.0999797000549734
101161	100	43	stimuli/movNat/hotspring/mn_hotspring05.jpg      	1	1	1	mn_hotspring05.jpg   	movNat   	3	hotspring 	21	hotspring05 	214	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	82.1765924999491	82.2766030998901	0.100010599941015
101311	100	44	stimuli/plant/flower/plant_flower06.jpg          	1	1	1	plant_flower06.jpg   	plant    	6	flower    	16	flower06    	165	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	82.3266143000219	82.4266075999476	0.0999932999256998
101461	100	45	stimuli/movArt/train/ma_train01.jpg              	1	1	1	ma_train01.jpg       	movArt   	2	train     	34	train01     	340	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	82.4766184999608	82.5766117000021	0.0999932000413537
101611	100	46	stimuli/movArt/boat/ma_boat09.jpg                	1	1	1	ma_boat09.jpg        	movArt   	2	boat      	2	boat09      	28	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	82.6266197999939	82.7265985999256	0.099978799931705
101761	100	47	stimuli/animals2/tiger/animal_tiger08.jpg        	1	1	1	animal_tiger08.jpg   	animals2 	1	tiger     	33	tiger08     	337	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	82.7766271000728	82.8766179000959	0.0999908000230789
101911	100	48	stimuli/movArt/bus/ma_bus09.jpg                  	1	1	1	ma_bus09.jpg         	movArt   	2	bus       	3	bus09       	38	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	82.926615000004	83.0266219000332	0.100006900029257
102061	100	49	stimuli/plant2/clover/plant_clover07.jpg         	1	1	1	plant_clover07.jpg   	plant2   	7	clover    	9	clover07    	96	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	83.0766131998971	83.1766234000679	0.1000102001708
102211	100	50	stimuli/plant2/clover/plant_clover01.jpg         	1	1	1	plant_clover01.jpg   	plant2   	7	clover    	9	clover01    	90	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	83.2266315000597	83.3266280000098	0.0999964999500662
102361	100	51	stimuli/animals2/bee/animal_bee05.jpg            	1	1	1	animal_bee05.jpg     	animals2 	1	bee       	0	bee05       	4	alive    	1	moves	1	natural 	1	n	0	1        	f	0.0	0	83.3766201001126	83.4766140000429	0.0999938999302685
102511	100	52	stimuli/plant2/fern/plant_fern03.jpg             	1	1	1	plant_fern03.jpg     	plant2   	7	fern      	14	fern03      	142	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	83.5266420000698	83.626635099994	0.0999930999241769
102661	100	53	stimuli/animals2/bee/animal_bee05.jpg            	1	1	1	animal_bee05.jpg     	animals2 	1	bee       	0	bee05       	4	alive    	1	moves	1	natural 	1	n	1	0        	 	0.0	0	83.6766411000863	83.776638600044	0.0999974999576807
102811	100	54	stimuli/nonmovArt/clothespeg/nma_clothespeg04.jpg	1	1	1	nma_clothespeg04.jpg 	nonmovArt	4	clothespeg	8	clothespeg04	83	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	83.8266580000054	83.9266264999751	0.099968499969691
