onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_alive	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
105787	100	0	stimuli/animals2/lemur/animal_lemur03.jpg        	1	1	1	animal_lemur03.jpg   	animals2 	1	lemur     	23	lemur03     	232	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	98.0162064000033	98.1161848999909	0.0999784999876283
105937	100	1	stimuli/movArt/train/ma_train05.jpg              	1	1	1	ma_train05.jpg       	movArt   	2	train     	34	train05     	344	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	98.1662038000068	98.2661920000101	0.0999882000032812
106087	100	2	stimuli/plant2/moss/plant_moss04.jpg             	1	1	1	plant_moss04.jpg     	plant2   	7	moss      	25	moss04      	253	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	98.3161994999973	98.4161914000288	0.0999919000314549
106237	100	3	stimuli/animals2/pigeon/animal_pigeon06.jpg      	1	1	1	animal_pigeon06.jpg  	animals2 	1	pigeon    	28	pigeon06    	285	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	98.4662063000142	98.5661967000342	0.0999904000200331
106387	100	4	stimuli/plant/grass/plant_grass09.jpg            	1	1	1	plant_grass09.jpg    	plant    	6	grass     	17	grass09     	178	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	98.6162091000005	98.7161993000191	0.0999902000185102
106537	100	5	stimuli/movNat/river/mn_river05.jpg              	1	1	1	mn_river05.jpg       	movNat   	3	river     	29	river05     	294	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	98.7662121999892	98.8662077999906	0.0999956000014208
106687	100	6	stimuli/nonmovNat/shell/nmn_shell02.jpg          	1	1	1	nmn_shell02.jpg      	nonmovNat	5	shell     	32	shell02     	321	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	98.9162162999855	99.0162081000162	0.0999918000306934
106837	100	7	stimuli/plant2/fern/plant_fern09.jpg             	1	1	1	plant_fern09.jpg     	plant2   	7	fern      	14	fern09      	148	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	99.0665192999877	99.1662250999943	0.0997058000066318
106987	100	8	stimuli/animals2/bee/animal_bee05.jpg            	1	1	1	animal_bee05.jpg     	animals2 	1	bee       	0	bee05       	4	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	99.2162247000379	99.3162308000028	0.100006099964958
107137	100	9	stimuli/animals/dolphin/animal_dolphin05.jpg     	1	1	1	animal_dolphin05.jpg 	animals  	0	dolphin   	12	dolphin05   	124	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	99.3662279000273	99.4662224000204	0.0999944999930449
107287	100	10	stimuli/nonmovNat/sand/nmn_sand10.jpg            	1	1	1	nmn_sand10.jpg       	nonmovNat	5	sand      	31	sand10      	319	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	99.5162339999806	99.6162248000037	0.0999908000230789
107437	100	11	stimuli/animals2/whale/animal_whale07.jpg        	1	1	1	animal_whale07.jpg   	animals2 	1	whale     	39	whale07     	396	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	99.6662539999815	99.7662280999939	0.0999741000123322
107587	100	12	stimuli/animals2/whale/animal_whale02.jpg        	1	1	1	animal_whale02.jpg   	animals2 	1	whale     	39	whale02     	391	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	99.8162387000048	99.9162329999963	0.099994299991522
107737	100	13	stimuli/animals2/bee/animal_bee05.jpg            	1	1	1	animal_bee05.jpg     	animals2 	1	bee       	0	bee05       	4	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	99.9662453000201	100.066239100008	0.0999937999877147
107887	100	14	stimuli/animals/eagle/animal_eagle01.jpg         	1	1	1	animal_eagle01.jpg   	animals  	0	eagle     	13	eagle01     	130	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	100.116247400001	100.216240199981	0.0999927999801002
108037	100	15	stimuli/plant2/fern/plant_fern01.jpg             	1	1	1	plant_fern01.jpg     	plant2   	7	fern      	14	fern01      	140	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	100.266253900016	100.36624350003	0.0999896000139415
108187	100	16	stimuli/movArt/bus/ma_bus03.jpg                  	1	1	1	ma_bus03.jpg         	movArt   	2	bus       	3	bus03       	32	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	100.41625770001	100.516250099987	0.0999923999770544
108337	100	17	stimuli/movNat/waterfall/mn_waterfall06.jpg      	1	1	1	mn_waterfall06.jpg   	movNat   	3	waterfall 	37	waterfall06 	375	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	100.566257600032	100.666254099982	0.0999964999500662
