onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_alive	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
94490	100	0	stimuli/plant2/moss/plant_moss05.jpg             	1	1	1	plant_moss05.jpg     	plant2   	7	moss      	25	moss05      	254	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	120.76366990013	120.863641200121	0.0999712999910116
94640	100	1	stimuli/plant2/fern/plant_fern02.jpg             	1	1	1	plant_fern02.jpg     	plant2   	7	fern      	14	fern02      	141	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	120.91366109997	121.013654800132	0.0999937001615763
94790	100	2	stimuli/animals2/bee/animal_bee07.jpg            	1	1	1	animal_bee07.jpg     	animals2 	1	bee       	0	bee07       	6	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	121.063653200166	121.163644799963	0.0999915997963399
94940	100	3	stimuli/animals/dog/animal_dog10.jpg             	1	1	1	animal_dog10.jpg     	animals  	0	dog       	11	dog10       	119	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	121.213657600107	121.313649600139	0.0999920000322163
95090	100	4	stimuli/nonmovNat/cliff/nmn_cliff08.jpg          	1	1	1	nmn_cliff08.jpg      	nonmovNat	5	cliff     	7	cliff08     	77	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	121.363661100157	121.463651499944	0.0999903997872025
95240	100	5	stimuli/nonmovArt/bench/nma_bench03.jpg          	1	1	1	nma_bench03.jpg      	nonmovArt	4	bench     	1	bench03     	12	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	121.51369339996	121.613656700123	0.0999633001629263
95390	100	6	stimuli/nonmovArt/bench/nma_bench05.jpg          	1	1	1	nma_bench05.jpg      	nonmovArt	4	bench     	1	bench05     	14	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	121.663668800145	121.763659600168	0.0999908000230789
95540	100	7	stimuli/movNat/hotspring/mn_hotspring06.jpg      	1	1	1	mn_hotspring06.jpg   	movNat   	3	hotspring 	21	hotspring06 	215	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	121.813929900061	121.913667500019	0.0997375999577344
95690	100	8	stimuli/plant2/lemontree/plant_lemontree02.jpg   	1	1	1	plant_lemontree02.jpg	plant2   	7	lemontree 	22	lemontree02 	221	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	121.963693400146	122.063666900154	0.0999735000077635
95840	100	9	stimuli/nonmovNat/rock/nmn_rock04.jpg            	1	1	1	nmn_rock04.jpg       	nonmovNat	5	rock      	30	rock04      	303	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	122.113692400046	122.213669300079	0.0999769000336528
95990	100	10	stimuli/movNat/waves/mn_waves01.jpg              	1	1	1	mn_waves01.jpg       	movNat   	3	waves     	38	waves01     	380	not_alive	0	moves	1	natural 	1	n	1	0        	 	0.0	0	122.263680800097	122.363674800145	0.0999940000474453
96140	100	11	stimuli/animals/cat/animal_cat01.jpg             	1	1	1	animal_cat01.jpg     	animals  	0	cat       	6	cat01       	60	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	122.413684900152	122.513677899959	0.0999929998070002
96290	100	12	stimuli/movArt/bus/ma_bus05.jpg                  	1	1	1	ma_bus05.jpg         	movArt   	2	bus       	3	bus05       	34	not_alive	0	moves	1	artefact	0	n	0	1        	f	0.391982299974188	1	122.563689300092	122.663684800034	0.0999954999424517
96440	100	13	stimuli/movArt/train/ma_train04.jpg              	1	1	1	ma_train04.jpg       	movArt   	2	train     	34	train04     	343	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	122.713742700173	122.81370300008	0.0999602999072522
96590	100	14	stimuli/movArt/car/ma_car04.jpg                  	1	1	1	ma_car04.jpg         	movArt   	2	car       	5	car04       	53	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	122.863707300043	122.963712000055	0.100004700012505
96740	100	15	stimuli/movNat/waterfall/mn_waterfall10.jpg      	1	1	1	mn_waterfall10.jpg   	movNat   	3	waterfall 	37	waterfall10 	379	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	123.013704800047	123.113705500029	0.100000699982047
96890	100	16	stimuli/animals/horse/animal_horse07.jpg         	1	1	1	animal_horse07.jpg   	animals  	0	horse     	20	horse07     	206	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	123.163709300105	123.263704500161	0.0999952000565827
97040	100	17	stimuli/animals2/lemur/animal_lemur10.jpg        	1	1	1	animal_lemur10.jpg   	animals2 	1	lemur     	23	lemur10     	239	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	123.313712300034	123.413708900101	0.099996600067243
97190	100	18	stimuli/plant2/clover/plant_clover10.jpg         	1	1	1	plant_clover10.jpg   	plant2   	7	clover    	9	clover10    	99	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	123.463717299979	123.563710400136	0.0999931001570076
97340	100	19	stimuli/plant2/lemontree/plant_lemontree08.jpg   	1	1	1	plant_lemontree08.jpg	plant2   	7	lemontree 	22	lemontree08 	227	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	123.613720600028	123.713744499953	0.100023899925873
97490	100	20	stimuli/plant2/palmtree/plant_palmtree06.jpg     	1	1	1	plant_palmtree06.jpg 	plant2   	7	palmtree  	27	palmtree06  	275	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	123.763726100093	123.863720600028	0.0999944999348372
97640	100	21	stimuli/nonmovNat/shell/nmn_shell03.jpg          	1	1	1	nmn_shell03.jpg      	nonmovNat	5	shell     	32	shell03     	322	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	123.913729700027	124.013722399948	0.0999926999211311
97790	100	22	stimuli/movNat/waves/mn_waves06.jpg              	1	1	1	mn_waves06.jpg       	movNat   	3	waves     	38	waves06     	385	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	124.063731800066	124.16372349998	0.0999916999135166
97940	100	23	stimuli/movArt/helicopter/ma_helicopter04.jpg    	1	1	1	ma_helicopter04.jpg  	movArt   	2	helicopter	19	helicopter04	193	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	124.21373660001	124.313744700048	0.100008100038394
98090	100	24	stimuli/plant/cactus/plant_cactus08.jpg          	1	1	1	plant_cactus08.jpg   	plant    	6	cactus    	4	cactus08    	47	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	124.363739400171	124.463760399958	0.100020999787375
98240	100	25	stimuli/movArt/helicopter/ma_helicopter08.jpg    	1	1	1	ma_helicopter08.jpg  	movArt   	2	helicopter	19	helicopter08	197	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	124.51375110005	124.61375330016	0.100002200109884
98390	100	26	stimuli/nonmovArt/headphones/nma_headphones03.jpg	1	1	1	nma_headphones03.jpg 	nonmovArt	4	headphones	18	headphones03	182	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	124.663750699954	124.763741299976	0.099990600021556
98540	100	27	stimuli/nonmovNat/shell/nmn_shell03.jpg          	1	1	1	nmn_shell03.jpg      	nonmovNat	5	shell     	32	shell03     	322	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	124.813770200126	124.913745300146	0.0999751000199467
98690	100	28	stimuli/plant2/fern/plant_fern07.jpg             	1	1	1	plant_fern07.jpg     	plant2   	7	fern      	14	fern07      	146	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	124.963756900048	125.063749100082	0.0999922000337392
98840	100	29	stimuli/movNat/waves/mn_waves02.jpg              	1	1	1	mn_waves02.jpg       	movNat   	3	waves     	38	waves02     	381	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	125.113756400067	125.213763900101	0.100007500033826
98990	100	30	stimuli/movArt/boat/ma_boat03.jpg                	1	1	1	ma_boat03.jpg        	movArt   	2	boat      	2	boat03      	22	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	125.263763800031	125.363755699946	0.0999918999150395
99140	100	31	stimuli/movArt/car/ma_car02.jpg                  	1	1	1	ma_car02.jpg         	movArt   	2	car       	5	car02       	51	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	125.413766300073	125.51375890011	0.099992600036785
99290	100	32	stimuli/movNat/fire/mn_fire05.jpg                	1	1	1	mn_fire05.jpg        	movNat   	3	fire      	15	fire05      	154	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	125.563799600117	125.663776500151	0.0999769000336528
99440	100	33	stimuli/nonmovArt/clothespeg/nma_clothespeg07.jpg	1	1	1	nma_clothespeg07.jpg 	nonmovArt	4	clothespeg	8	clothespeg07	86	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	125.71377640008	125.813771700021	0.0999952999409288
99590	100	34	stimuli/plant/grass/plant_grass09.jpg            	1	1	1	plant_grass09.jpg    	plant    	6	grass     	17	grass09     	178	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	125.863777999999	125.963782600127	0.100004600128159
99740	100	35	stimuli/movNat/river/mn_river05.jpg              	1	1	1	mn_river05.jpg       	movNat   	3	river     	29	river05     	294	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	126.013778300025	126.113774399972	0.0999960999470204
99890	100	36	stimuli/plant/cactus/plant_cactus08.jpg          	1	1	1	plant_cactus08.jpg   	plant    	6	cactus    	4	cactus08    	47	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	126.163798799971	126.263776200125	0.0999774001538754
100040	100	37	stimuli/animals2/pigeon/animal_pigeon09.jpg      	1	1	1	animal_pigeon09.jpg  	animals2 	1	pigeon    	28	pigeon09    	288	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	126.313811999978	126.41377910017	0.0999671001918614
100190	100	38	stimuli/movArt/car/ma_car07.jpg                  	1	1	1	ma_car07.jpg         	movArt   	2	car       	5	car07       	56	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	126.463788800174	126.563796200091	0.100007399916649
100340	100	39	stimuli/plant2/clover/plant_clover05.jpg         	1	1	1	plant_clover05.jpg   	plant2   	7	clover    	9	clover05    	94	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	126.613794900011	126.71378650004	0.0999916000291705
100490	100	40	stimuli/animals/dolphin/animal_dolphin08.jpg     	1	1	1	animal_dolphin08.jpg 	animals  	0	dolphin   	12	dolphin08   	127	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	126.763796400046	126.863795000128	0.099998600082472
100640	100	41	stimuli/plant2/fern/plant_fern10.jpg             	1	1	1	plant_fern10.jpg     	plant2   	7	fern      	14	fern10      	149	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	126.913806300145	127.01379300002	0.0999866998754442
100790	100	42	stimuli/animals/horse/animal_horse07.jpg         	1	1	1	animal_horse07.jpg   	animals  	0	horse     	20	horse07     	206	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	127.063818000024	127.163796399953	0.0999783999286592
100940	100	43	stimuli/nonmovArt/mug/nma_mug08.jpg              	1	1	1	nma_mug08.jpg        	nonmovArt	4	mug       	26	mug08       	267	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	127.213807800086	127.313805700047	0.0999978999607265
101090	100	44	stimuli/nonmovArt/mug/nma_mug02.jpg              	1	1	1	nma_mug02.jpg        	nonmovArt	4	mug       	26	mug02       	261	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	127.363814900164	127.463802700164	0.0999878000002354
101240	100	45	stimuli/plant/vine/plant_vine07.jpg              	1	1	1	plant_vine07.jpg     	plant    	6	vine      	36	vine07      	366	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	127.513815599959	127.61380739999	0.0999918000306934
