onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_alive	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
95107	100	0	stimuli/plant2/clover/plant_clover07.jpg         	1	1	1	plant_clover07.jpg   	plant2   	7	clover    	9	clover07    	96	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	110.997015600005	111.096987099998	0.0999714999925345
95257	100	1	stimuli/movArt/car/ma_car04.jpg                  	1	1	1	ma_car04.jpg         	movArt   	2	car       	5	car04       	53	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	111.147033500005	111.246992400003	0.0999588999984553
95407	100	2	stimuli/movArt/helicopter/ma_helicopter02.jpg    	1	1	1	ma_helicopter02.jpg  	movArt   	2	helicopter	19	helicopter02	191	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	111.297000799997	111.397024100006	0.100023300008615
95557	100	3	stimuli/nonmovArt/bench/nma_bench10.jpg          	1	1	1	nma_bench10.jpg      	nonmovArt	4	bench     	1	bench10     	19	not_alive	0	still	0	artefact	0	n	0	1        	f	0.0	0	111.447006400005	111.547000299994	0.0999938999884762
95707	100	4	stimuli/movArt/helicopter/ma_helicopter04.jpg    	1	1	1	ma_helicopter04.jpg  	movArt   	2	helicopter	19	helicopter04	193	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	111.597008600002	111.6970038	0.099995199998375
95857	100	5	stimuli/animals/cat/animal_cat08.jpg             	1	1	1	animal_cat08.jpg     	animals  	0	cat       	6	cat08       	67	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	111.747018299997	111.847007699995	0.0999893999978667
96007	100	6	stimuli/nonmovNat/rock/nmn_rock04.jpg            	1	1	1	nmn_rock04.jpg       	nonmovNat	5	rock      	30	rock04      	303	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	111.897042500001	111.997036600005	0.099994100004551
96157	100	7	stimuli/movNat/fire/mn_fire09.jpg                	1	1	1	mn_fire09.jpg        	movNat   	3	fire      	15	fire09      	158	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	112.047326700005	112.147018500007	0.0996918000018923
96307	100	8	stimuli/nonmovNat/crystal/nmn_crystal07.jpg      	1	1	1	nmn_crystal07.jpg    	nonmovNat	5	crystal   	10	crystal07   	106	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	112.197025400004	112.297047800006	0.100022400001762
96457	100	9	stimuli/animals/dog/animal_dog10.jpg             	1	1	1	animal_dog10.jpg     	animals  	0	dog       	11	dog10       	119	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	112.347030200006	112.447023900007	0.0999937000015052
96607	100	10	stimuli/movArt/car/ma_car10.jpg                  	1	1	1	ma_car10.jpg         	movArt   	2	car       	5	car10       	59	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	112.497047900004	112.597029199998	0.099981299994397
96757	100	11	stimuli/plant/flower/plant_flower09.jpg          	1	1	1	plant_flower09.jpg   	plant    	6	flower    	16	flower09    	168	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	112.647037799994	112.747031599996	0.0999938000022666
96907	100	12	stimuli/plant2/palmtree/plant_palmtree08.jpg     	1	1	1	plant_palmtree08.jpg 	plant2   	7	palmtree  	27	palmtree08  	277	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	112.797040400008	112.897087400008	0.100046999999904
97057	100	13	stimuli/movArt/bus/ma_bus07.jpg                  	1	1	1	ma_bus07.jpg         	movArt   	2	bus       	3	bus07       	36	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	112.947044900007	113.047052099995	0.100007199987886
97207	100	14	stimuli/nonmovArt/lock/nma_lock04.jpg            	1	1	1	nma_lock04.jpg       	nonmovArt	4	lock      	24	lock04      	243	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	113.097049699994	113.197044200002	0.0999945000075968
