onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_alive	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
114993	100	0	stimuli/animals/horse/animal_horse10.jpg         	1	1	1	animal_horse10.jpg   	animals  	0	horse     	20	horse10     	209	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	147.584751900053	147.684725500061	0.099973600008525
115143	100	1	stimuli/plant/vine/plant_vine01.jpg              	1	1	1	plant_vine01.jpg     	plant    	6	vine      	36	vine01      	360	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	147.734744200017	147.834728899994	0.0999846999766305
115293	100	2	stimuli/animals/eagle/animal_eagle09.jpg         	1	1	1	animal_eagle09.jpg   	animals  	0	eagle     	13	eagle09     	138	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	147.884741700022	147.984731000033	0.0999893000116572
115443	100	3	stimuli/movArt/car/ma_car07.jpg                  	1	1	1	ma_car07.jpg         	movArt   	2	car       	5	car07       	56	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	148.034740800038	148.13473749999	0.0999966999515891
115593	100	4	stimuli/movNat/waves/mn_waves01.jpg              	1	1	1	mn_waves01.jpg       	movNat   	3	waves     	38	waves01     	380	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	148.184747399995	148.284738300019	0.0999909000238404
115743	100	5	stimuli/nonmovNat/cliff/nmn_cliff09.jpg          	1	1	1	nmn_cliff09.jpg      	nonmovNat	5	cliff     	7	cliff09     	78	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	148.334748400026	148.434741100064	0.0999927000375465
115893	100	6	stimuli/plant/vine/plant_vine02.jpg              	1	1	1	plant_vine02.jpg     	plant    	6	vine      	36	vine02      	361	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	148.484752300079	148.584739900078	0.0999875999987125
116043	100	7	stimuli/animals/dog/animal_dog10.jpg             	1	1	1	animal_dog10.jpg     	animals  	0	dog       	11	dog10       	119	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	148.635086300084	148.73474720004	0.0996608999557793
116193	100	8	stimuli/movNat/fire/mn_fire03.jpg                	1	1	1	mn_fire03.jpg        	movNat   	3	fire      	15	fire03      	152	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	148.784755900037	148.884747800068	0.0999919000314549
116343	100	9	stimuli/nonmovArt/clothespeg/nma_clothespeg05.jpg	1	1	1	nma_clothespeg05.jpg 	nonmovArt	4	clothespeg	8	clothespeg05	84	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	148.934756900067	149.034749499988	0.0999925999203697
116493	100	10	stimuli/animals2/lemur/animal_lemur07.jpg        	1	1	1	animal_lemur07.jpg   	animals2 	1	lemur     	23	lemur07     	236	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	149.084764800034	149.184756500064	0.099991700029932
