onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_alive	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
78901	100	0	stimuli/nonmovArt/bench/nma_bench05.jpg          	1	1	1	nma_bench05.jpg      	nonmovArt	4	bench     	1	bench05     	14	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	58.7026828001253	58.802655500127	0.0999727000016719
79052	100	1	stimuli/animals/dolphin/animal_dolphin10.jpg     	1	1	1	animal_dolphin10.jpg 	animals  	0	dolphin   	12	dolphin10   	129	alive    	1	moves	1	natural 	1	n	0	1        	a	0.0	0	58.8527038001921	58.9526639000978	0.0999600999057293
79201	100	2	stimuli/nonmovArt/lock/nma_lock08.jpg            	1	1	1	nma_lock08.jpg       	nonmovArt	4	lock      	24	lock08      	247	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	59.0026724000927	59.1026664001402	0.0999940000474453
79351	100	3	stimuli/movNat/river/mn_river04.jpg              	1	1	1	mn_river04.jpg       	movNat   	3	river     	29	river04     	293	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	59.1526769001503	59.2526685001794	0.0999916000291705
79501	100	4	stimuli/animals2/whale/animal_whale05.jpg        	1	1	1	animal_whale05.jpg   	animals2 	1	whale     	39	whale05     	394	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	59.3026774001774	59.4026711999904	0.0999937998130918
79651	100	5	stimuli/movArt/helicopter/ma_helicopter03.jpg    	1	1	1	ma_helicopter03.jpg  	movArt   	2	helicopter	19	helicopter03	192	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	59.4526825000066	59.5526738001499	0.0999913001433015
79801	100	6	stimuli/movNat/waterfall/mn_waterfall02.jpg      	1	1	1	mn_waterfall02.jpg   	movNat   	3	waterfall 	37	waterfall02 	371	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	59.6026870000642	59.702679600101	0.099992600036785
79952	100	7	stimuli/movNat/fire/mn_fire07.jpg                	1	1	1	mn_fire07.jpg        	movNat   	3	fire      	15	fire07      	156	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	59.7529524001293	59.852685000049	0.0997325999196619
80101	100	8	stimuli/animals/eagle/animal_eagle06.jpg         	1	1	1	animal_eagle06.jpg   	animals  	0	eagle     	13	eagle06     	135	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	59.9026935000438	60.0026874002069	0.0999939001630992
80251	100	9	stimuli/nonmovArt/clothespeg/nma_clothespeg02.jpg	1	1	1	nma_clothespeg02.jpg 	nonmovArt	4	clothespeg	8	clothespeg02	81	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	60.0527000001166	60.1527021001093	0.100002099992707
