onset	duration	eventnumber	stimulus_file	blockno	trialno	is_faststream	stim	stim_category	category_number	exemplar	exemplar_number	image_name	image_number	aliveness	aliveness_bin	movement	movement_bin	naturalness	naturalness_bin	response_hand_alive	istarget	response	keypressed	rt	correct	time_stimon	time_stimoff	stimdur
72581	100	0	stimuli/movArt/helicopter/ma_helicopter09.jpg    	1	1	1	ma_helicopter09.jpg  	movArt   	2	helicopter	19	helicopter09	198	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	60.5703646999318	60.670337199932	0.099972500000149
72731	100	1	stimuli/plant/grass/plant_grass04.jpg            	1	1	1	plant_grass04.jpg    	plant    	6	grass     	17	grass04     	173	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	60.7203577000182	60.8203431000002	0.0999853999819606
72881	100	2	stimuli/animals2/pigeon/animal_pigeon09.jpg      	1	1	1	animal_pigeon09.jpg  	animals2 	1	pigeon    	28	pigeon09    	288	alive    	1	moves	1	natural 	1	n	0	1        	a	0.0	0	60.870352299884	60.9703460000455	0.0999937001615763
73031	100	3	stimuli/plant2/palmtree/plant_palmtree08.jpg     	1	1	1	plant_palmtree08.jpg 	plant2   	7	palmtree  	27	palmtree08  	277	alive    	1	still	0	natural 	1	n	0	1        	a	0.0	0	61.0203539000358	61.1203497999813	0.0999958999454975
73181	100	4	stimuli/nonmovArt/bench/nma_bench05.jpg          	1	1	1	nma_bench05.jpg      	nonmovArt	4	bench     	1	bench05     	14	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	61.1703578000888	61.270351999905	0.0999941998161376
73331	100	5	stimuli/animals2/pigeon/animal_pigeon10.jpg      	1	1	1	animal_pigeon10.jpg  	animals2 	1	pigeon    	28	pigeon10    	289	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	61.3203626000322	61.420356299961	0.0999936999287456
73481	100	6	stimuli/movArt/train/ma_train05.jpg              	1	1	1	ma_train05.jpg       	movArt   	2	train     	34	train05     	344	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	61.470365999965	61.5703588000033	0.0999928000383079
73632	100	7	stimuli/plant2/clover/plant_clover04.jpg         	1	1	1	plant_clover04.jpg   	plant2   	7	clover    	9	clover04    	93	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	61.6206467999145	61.7203669000883	0.0997201001737267
73781	100	8	stimuli/movNat/waterfall/mn_waterfall07.jpg      	1	1	1	mn_waterfall07.jpg   	movNat   	3	waterfall 	37	waterfall07 	376	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	61.7703782999888	61.8703664999921	0.0999882000032812
73931	100	9	stimuli/movNat/fire/mn_fire05.jpg                	1	1	1	mn_fire05.jpg        	movNat   	3	fire      	15	fire05      	154	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	61.9203762998805	62.0203875999432	0.100011300062761
74081	100	10	stimuli/plant2/fern/plant_fern08.jpg             	1	1	1	plant_fern08.jpg     	plant2   	7	fern      	14	fern08      	147	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	62.0703791999258	62.1703733000904	0.0999941001646221
74231	100	11	stimuli/nonmovNat/cliff/nmn_cliff01.jpg          	1	1	1	nmn_cliff01.jpg      	nonmovNat	5	cliff     	7	cliff01     	70	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	62.2203847998753	62.3203787999228	0.0999940000474453
74381	100	12	stimuli/animals/dog/animal_dog03.jpg             	1	1	1	animal_dog03.jpg     	animals  	0	dog       	11	dog03       	112	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	62.3703882999253	62.4703837998677	0.0999954999424517
74531	100	13	stimuli/plant/cactus/plant_cactus05.jpg          	1	1	1	plant_cactus05.jpg   	plant    	6	cactus    	4	cactus05    	44	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	62.5204071998596	62.6203834000044	0.099976200144738
74681	100	14	stimuli/plant2/palmtree/plant_palmtree09.jpg     	1	1	1	plant_palmtree09.jpg 	plant2   	7	palmtree  	27	palmtree09  	278	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	62.670394100016	62.7703889999539	0.099994899937883
74831	100	15	stimuli/nonmovNat/crystal/nmn_crystal04.jpg      	1	1	1	nmn_crystal04.jpg    	nonmovNat	5	crystal   	10	crystal04   	103	not_alive	0	still	0	natural 	1	n	1	0        	 	0.0	0	62.8203962999396	62.9203941999003	0.0999978999607265
74981	100	16	stimuli/nonmovNat/shell/nmn_shell05.jpg          	1	1	1	nmn_shell05.jpg      	nonmovNat	5	shell     	32	shell05     	324	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	62.9704024998937	63.0704030999914	0.100000600097701
75131	100	17	stimuli/animals/dog/animal_dog02.jpg             	1	1	1	animal_dog02.jpg     	animals  	0	dog       	11	dog02       	111	alive    	1	moves	1	natural 	1	n	0	1        	a	0.407065100036561	1	63.1204075000715	63.2203996998724	0.0999921998009086
75281	100	18	stimuli/movArt/boat/ma_boat06.jpg                	1	1	1	ma_boat06.jpg        	movArt   	2	boat      	2	boat06      	25	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	63.2703929999843	63.3704331000336	0.100040100049227
75432	100	19	stimuli/animals2/whale/animal_whale02.jpg        	1	1	1	animal_whale02.jpg   	animals2 	1	whale     	39	whale02     	391	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	63.4204621000681	63.5204244998749	0.0999623998068273
75582	100	20	stimuli/animals/cat/animal_cat09.jpg             	1	1	1	animal_cat09.jpg     	animals  	0	cat       	6	cat09       	68	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	63.5704298000783	63.6704392998945	0.100009499816224
75732	100	21	stimuli/animals2/whale/animal_whale01.jpg        	1	1	1	animal_whale01.jpg   	animals2 	1	whale     	39	whale01     	390	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	63.7204326998908	63.8204421000555	0.100009400164708
75882	100	22	stimuli/animals/eagle/animal_eagle03.jpg         	1	1	1	animal_eagle03.jpg   	animals  	0	eagle     	13	eagle03     	132	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	63.87046190002	63.970428599976	0.099966699955985
76032	100	23	stimuli/animals/dolphin/animal_dolphin02.jpg     	1	1	1	animal_dolphin02.jpg 	animals  	0	dolphin   	12	dolphin02   	121	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	64.0204384999815	64.1204472999088	0.100008799927309
76182	100	24	stimuli/plant/grass/plant_grass06.jpg            	1	1	1	plant_grass06.jpg    	plant    	6	grass     	17	grass06     	175	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	64.1704702998977	64.270436800085	0.0999665001872927
76332	100	25	stimuli/animals2/bee/animal_bee03.jpg            	1	1	1	animal_bee03.jpg     	animals2 	1	bee       	0	bee03       	2	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	64.3204631998669	64.4204543998931	0.0999912000261247
76482	100	26	stimuli/animals2/lemur/animal_lemur09.jpg        	1	1	1	animal_lemur09.jpg   	animals2 	1	lemur     	23	lemur09     	238	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	64.4704493999015	64.5704623998608	0.10001299995929
76632	100	27	stimuli/nonmovNat/crystal/nmn_crystal05.jpg      	1	1	1	nmn_crystal05.jpg    	nonmovNat	5	crystal   	10	crystal05   	104	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	64.6204764998984	64.7204676000401	0.0999911001417786
76782	100	28	stimuli/movArt/car/ma_car01.jpg                  	1	1	1	ma_car01.jpg         	movArt   	2	car       	5	car01       	50	not_alive	0	moves	1	artefact	0	n	1	0        	 	0.0	0	64.7704570998904	64.8704534000717	0.099996300181374
76932	100	29	stimuli/plant/vine/plant_vine09.jpg              	1	1	1	plant_vine09.jpg     	plant    	6	vine      	36	vine09      	368	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	64.920462399954	65.0204558998812	0.0999934999272227
77082	100	30	stimuli/animals/horse/animal_horse07.jpg         	1	1	1	animal_horse07.jpg   	animals  	0	horse     	20	horse07     	206	alive    	1	moves	1	natural 	1	n	0	1        	f	0.29219330009073	1	65.0704693000298	65.1704611000605	0.0999918000306934
77232	100	31	stimuli/nonmovArt/clothespeg/nma_clothespeg08.jpg	1	1	1	nma_clothespeg08.jpg 	nonmovArt	4	clothespeg	8	clothespeg08	87	not_alive	0	still	0	artefact	0	n	0	0        	 	0.0	0	65.2204708999489	65.3204852999188	0.10001439996995
77382	100	32	stimuli/movNat/waves/mn_waves08.jpg              	1	1	1	mn_waves08.jpg       	movNat   	3	waves     	38	waves08     	387	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	65.370473299874	65.4704658000264	0.0999925001524389
77532	100	33	stimuli/plant/flower/plant_flower01.jpg          	1	1	1	plant_flower01.jpg   	plant    	6	flower    	16	flower01    	160	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	65.5204835999757	65.620473299874	0.0999896998982876
77682	100	34	stimuli/animals2/bee/animal_bee02.jpg            	1	1	1	animal_bee02.jpg     	animals2 	1	bee       	0	bee02       	1	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	65.6704949999694	65.7704791000579	0.0999841000884771
77832	100	35	stimuli/movArt/bus/ma_bus07.jpg                  	1	1	1	ma_bus07.jpg         	movArt   	2	bus       	3	bus07       	36	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	65.8204838000238	65.9204867999069	0.100002999883145
77982	100	36	stimuli/movNat/river/mn_river05.jpg              	1	1	1	mn_river05.jpg       	movNat   	3	river     	29	river05     	294	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	65.9704863000661	66.0704890999477	0.100002799881622
78132	100	37	stimuli/movArt/bus/ma_bus09.jpg                  	1	1	1	ma_bus09.jpg         	movArt   	2	bus       	3	bus09       	38	not_alive	0	moves	1	artefact	0	n	0	0        	 	0.0	0	66.1205082999077	66.2204841999337	0.0999759000260383
78282	100	38	stimuli/nonmovNat/rock/nmn_rock04.jpg            	1	1	1	nmn_rock04.jpg       	nonmovNat	5	rock      	30	rock04      	303	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	66.2705097999424	66.3704977999441	0.0999880000017583
78432	100	39	stimuli/movNat/river/mn_river02.jpg              	1	1	1	mn_river02.jpg       	movNat   	3	river     	29	river02     	291	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	66.4205124999862	66.5205077999271	0.0999952999409288
78582	100	40	stimuli/animals/cat/animal_cat10.jpg             	1	1	1	animal_cat10.jpg     	animals  	0	cat       	6	cat10       	69	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	66.5705200000666	66.6704943000805	0.0999743000138551
78732	100	41	stimuli/plant2/fern/plant_fern03.jpg             	1	1	1	plant_fern03.jpg     	plant2   	7	fern      	14	fern03      	142	alive    	1	still	0	natural 	1	n	0	0        	 	0.0	0	66.7205139000434	66.8205178000499	0.100003900006413
78882	100	42	stimuli/plant/cactus/plant_cactus04.jpg          	1	1	1	plant_cactus04.jpg   	plant    	6	cactus    	4	cactus04    	43	alive    	1	still	0	natural 	1	n	1	0        	 	0.0	0	66.8705221000127	66.9705177999567	0.0999956999439746
79032	100	43	stimuli/animals2/lemur/animal_lemur04.jpg        	1	1	1	animal_lemur04.jpg   	animals2 	1	lemur     	23	lemur04     	233	alive    	1	moves	1	natural 	1	n	0	0        	 	0.0	0	67.0205564999487	67.1205283999443	0.0999718999955803
79182	100	44	stimuli/movArt/boat/ma_boat04.jpg                	1	1	1	ma_boat04.jpg        	movArt   	2	boat      	2	boat04      	23	not_alive	0	moves	1	artefact	0	n	1	1        	f	-0.0078925001434981	1	67.1705318000168	67.2705262999516	0.0999944999348372
79332	100	45	stimuli/movNat/waves/mn_waves03.jpg              	1	1	1	mn_waves03.jpg       	movNat   	3	waves     	38	waves03     	382	not_alive	0	moves	1	natural 	1	n	0	0        	 	0.0	0	67.3205373000819	67.4205269999802	0.0999896998982876
79482	100	46	stimuli/nonmovNat/cliff/nmn_cliff10.jpg          	1	1	1	nmn_cliff10.jpg      	nonmovNat	5	cliff     	7	cliff10     	79	not_alive	0	still	0	natural 	1	n	0	0        	 	0.0	0	67.4705409999005	67.5705347999465	0.0999938000459224
79632	100	47	stimuli/plant/tree/plant_tree09.jpg              	1	1	1	plant_tree09.jpg     	plant    	6	tree      	35	tree09      	358	alive    	1	still	0	natural 	1	n	0	1        	f	0.542346199974418	1	67.6205275999382	67.7205195999704	0.0999920000322163
